Question,Tag
63. Unique Paths II,Trie
1. Two Sum,Trie
2. Add Two Numbers,Trie
3. Longest Substring Without Repeating Characters,Trie
4. Median of Two Sorted Arrays,Trie
5. Longest Palindromic Substring,Trie
6. Zigzag Conversion,Trie
7. Reverse Integer,Trie
8. String to Integer (atoi),Trie
9. Palindrome Number,Trie
10. Regular Expression Matching,Trie
11. Container With Most Water,Trie
12. Integer to Roman,Trie
13. Roman to Integer,Trie
14. Longest Common Prefix,Trie
15. 3Sum,Trie
16. 3Sum Closest,Trie
17. Letter Combinations of a Phone Number,Trie
18. 4Sum,Trie
19. Remove Nth Node From End of List,Trie
20. Valid Parentheses,Trie
21. Merge Two Sorted Lists,Trie
22. Generate Parentheses,Trie
23. Merge k Sorted Lists,Trie
24. Swap Nodes in Pairs,Trie
25. Reverse Nodes in k-Group,Trie
26. Remove Duplicates from Sorted Array,Trie
27. Remove Element,Trie
28. Find the Index of the First Occurrence in a String,Trie
29. Divide Two Integers,Trie
30. Substring with Concatenation of All Words,Trie
31. Next Permutation,Trie
32. Longest Valid Parentheses,Trie
33. Search in Rotated Sorted Array,Trie
34. Find First and Last Position of Element in Sorted Array,Trie
35. Search Insert Position,Trie
36. Valid Sudoku,Trie
37. Sudoku Solver,Trie
38. Count and Say,Trie
39. Combination Sum,Trie
40. Combination Sum II,Trie
41. First Missing Positive,Trie
42. Trapping Rain Water,Trie
43. Multiply Strings,Trie
44. Wildcard Matching,Trie
45. Jump Game II,Trie
46. Permutations,Trie
47. Permutations II,Trie
48. Rotate Image,Trie
49. Group Anagrams,Trie
63. Unique Paths II,Trie
1. Two Sum,Trie
2. Add Two Numbers,Trie
3. Longest Substring Without Repeating Characters,Trie
4. Median of Two Sorted Arrays,Trie
5. Longest Palindromic Substring,Trie
6. Zigzag Conversion,Trie
7. Reverse Integer,Trie
8. String to Integer (atoi),Trie
9. Palindrome Number,Trie
10. Regular Expression Matching,Trie
11. Container With Most Water,Trie
12. Integer to Roman,Trie
13. Roman to Integer,Trie
14. Longest Common Prefix,Trie
15. 3Sum,Trie
16. 3Sum Closest,Trie
17. Letter Combinations of a Phone Number,Trie
18. 4Sum,Trie
19. Remove Nth Node From End of List,Trie
20. Valid Parentheses,Trie
21. Merge Two Sorted Lists,Trie
22. Generate Parentheses,Trie
23. Merge k Sorted Lists,Trie
24. Swap Nodes in Pairs,Trie
25. Reverse Nodes in k-Group,Trie
26. Remove Duplicates from Sorted Array,Trie
27. Remove Element,Trie
28. Find the Index of the First Occurrence in a String,Trie
29. Divide Two Integers,Trie
30. Substring with Concatenation of All Words,Trie
31. Next Permutation,Trie
32. Longest Valid Parentheses,Trie
33. Search in Rotated Sorted Array,Trie
