Question,Tag
63. Unique Paths II,bfs
100. Same Tree,bfs
101. Symmetric Tree,bfs
102. Binary Tree Level Order Traversal,bfs
103. Binary Tree Zigzag Level Order Traversal,bfs
104. Maximum Depth of Binary Tree,bfs
107. Binary Tree Level Order Traversal II,bfs
111. Minimum Depth of Binary Tree,bfs
112. Path Sum,bfs
116. Populating Next Right Pointers in Each Node,bfs
117. Populating Next Right Pointers in Each Node II,bfs
126. Word Ladder II,bfs
127. Word Ladder,bfs
130. Surrounded Regions,bfs
133. Clone Graph,bfs
199. Binary Tree Right Side View,bfs
200. Number of Islands,bfs
207. Course Schedule,bfs
210. Course Schedule II,bfs
226. Invert Binary Tree,bfs
261. Graph Valid Tree,bfs
269. Alien Dictionary,bfs
279. Perfect Squares,bfs
286. Walls and Gates,bfs
297. Serialize and Deserialize Binary Tree,bfs
301. Remove Invalid Parentheses,bfs
302. Smallest Rectangle Enclosing Black Pixels,bfs
310. Minimum Height Trees,bfs
314. Binary Tree Vertical Order Traversal,bfs
317. Shortest Distance from All Buildings,bfs
322. Coin Change,bfs
323. Number of Connected Components in an Undirected Graph,bfs
329. Longest Increasing Path in a Matrix,bfs
339. Nested List Weight Sum,bfs
364. Nested List Weight Sum II,bfs
365. Water and Jug Problem,bfs
399. Evaluate Division,bfs
404. Sum of Left Leaves,bfs
407. Trapping Rain Water II,bfs
417. Pacific Atlantic Water Flow,bfs
428. Serialize and Deserialize N-ary Tree,bfs
429. N-ary Tree Level Order Traversal,bfs
431. Encode N-ary Tree to Binary Tree,bfs
433. Minimum Genetic Mutation,bfs
449. Serialize and Deserialize BST,bfs
463. Island Perimeter,bfs
488. Zuma Game,bfs
490. The Maze,bfs
499. The Maze III,bfs
505. The Maze II,bfs
63. Unique Paths II,bfs
100. Same Tree,bfs
101. Symmetric Tree,bfs
102. Binary Tree Level Order Traversal,bfs
103. Binary Tree Zigzag Level Order Traversal,bfs
104. Maximum Depth of Binary Tree,bfs
107. Binary Tree Level Order Traversal II,bfs
111. Minimum Depth of Binary Tree,bfs
112. Path Sum,bfs
116. Populating Next Right Pointers in Each Node,bfs
117. Populating Next Right Pointers in Each Node II,bfs
126. Word Ladder II,bfs
127. Word Ladder,bfs
130. Surrounded Regions,bfs
133. Clone Graph,bfs
199. Binary Tree Right Side View,bfs
200. Number of Islands,bfs
207. Course Schedule,bfs
210. Course Schedule II,bfs
226. Invert Binary Tree,bfs
261. Graph Valid Tree,bfs
269. Alien Dictionary,bfs
279. Perfect Squares,bfs
286. Walls and Gates,bfs
297. Serialize and Deserialize Binary Tree,bfs
301. Remove Invalid Parentheses,bfs
302. Smallest Rectangle Enclosing Black Pixels,bfs
310. Minimum Height Trees,bfs
