Question,Tag
63. Unique Paths II,Backtracking
1. Two Sum,Backtracking
2. Add Two Numbers,Backtracking
3. Longest Substring Without Repeating Characters,Backtracking
4. Median of Two Sorted Arrays,Backtracking
5. Longest Palindromic Substring,Backtracking
6. Zigzag Conversion,Backtracking
7. Reverse Integer,Backtracking
8. String to Integer (atoi),Backtracking
9. Palindrome Number,Backtracking
10. Regular Expression Matching,Backtracking
11. Container With Most Water,Backtracking
12. Integer to Roman,Backtracking
13. Roman to Integer,Backtracking
14. Longest Common Prefix,Backtracking
15. 3Sum,Backtracking
16. 3Sum Closest,Backtracking
17. Letter Combinations of a Phone Number,Backtracking
18. 4Sum,Backtracking
19. Remove Nth Node From End of List,Backtracking
20. Valid Parentheses,Backtracking
21. Merge Two Sorted Lists,Backtracking
22. Generate Parentheses,Backtracking
23. Merge k Sorted Lists,Backtracking
24. Swap Nodes in Pairs,Backtracking
25. Reverse Nodes in k-Group,Backtracking
26. Remove Duplicates from Sorted Array,Backtracking
27. Remove Element,Backtracking
28. Find the Index of the First Occurrence in a String,Backtracking
29. Divide Two Integers,Backtracking
30. Substring with Concatenation of All Words,Backtracking
31. Next Permutation,Backtracking
32. Longest Valid Parentheses,Backtracking
33. Search in Rotated Sorted Array,Backtracking
34. Find First and Last Position of Element in Sorted Array,Backtracking
35. Search Insert Position,Backtracking
36. Valid Sudoku,Backtracking
37. Sudoku Solver,Backtracking
38. Count and Say,Backtracking
39. Combination Sum,Backtracking
40. Combination Sum II,Backtracking
41. First Missing Positive,Backtracking
42. Trapping Rain Water,Backtracking
43. Multiply Strings,Backtracking
44. Wildcard Matching,Backtracking
45. Jump Game II,Backtracking
46. Permutations,Backtracking
47. Permutations II,Backtracking
48. Rotate Image,Backtracking
49. Group Anagrams,Backtracking
63. Unique Paths II,Backtracking
1. Two Sum,Backtracking
2. Add Two Numbers,Backtracking
3. Longest Substring Without Repeating Characters,Backtracking
4. Median of Two Sorted Arrays,Backtracking
5. Longest Palindromic Substring,Backtracking
6. Zigzag Conversion,Backtracking
7. Reverse Integer,Backtracking
8. String to Integer (atoi),Backtracking
9. Palindrome Number,Backtracking
10. Regular Expression Matching,Backtracking
11. Container With Most Water,Backtracking
12. Integer to Roman,Backtracking
13. Roman to Integer,Backtracking
14. Longest Common Prefix,Backtracking
15. 3Sum,Backtracking
16. 3Sum Closest,Backtracking
17. Letter Combinations of a Phone Number,Backtracking
18. 4Sum,Backtracking
19. Remove Nth Node From End of List,Backtracking
20. Valid Parentheses,Backtracking
21. Merge Two Sorted Lists,Backtracking
22. Generate Parentheses,Backtracking
23. Merge k Sorted Lists,Backtracking
24. Swap Nodes in Pairs,Backtracking
25. Reverse Nodes in k-Group,Backtracking
26. Remove Duplicates from Sorted Array,Backtracking
27. Remove Element,Backtracking
28. Find the Index of the First Occurrence in a String,Backtracking
29. Divide Two Integers,Backtracking
30. Substring with Concatenation of All Words,Backtracking
31. Next Permutation,Backtracking
32. Longest Valid Parentheses,Backtracking
33. Search in Rotated Sorted Array,Backtracking
34. Find First and Last Position of Element in Sorted Array,Backtracking
35. Search Insert Position,Backtracking
36. Valid Sudoku,Backtracking
37. Sudoku Solver,Backtracking
38. Count and Say,Backtracking
39. Combination Sum,Backtracking
40. Combination Sum II,Backtracking
41. First Missing Positive,Backtracking
42. Trapping Rain Water,Backtracking
43. Multiply Strings,Backtracking
44. Wildcard Matching,Backtracking
45. Jump Game II,Backtracking
46. Permutations,Backtracking
47. Permutations II,Backtracking
48. Rotate Image,Backtracking
49. Group Anagrams,Backtracking
51. N-Queens,Backtracking
52. N-Queens II,Backtracking
53. Maximum Subarray,Backtracking
54. Spiral Matrix,Backtracking
55. Jump Game,Backtracking
56. Merge Intervals,Backtracking
57. Insert Interval,Backtracking
58. Length of Last Word,Backtracking
59. Spiral Matrix II,Backtracking
60. Permutation Sequence,Backtracking
61. Rotate List,Backtracking
62. Unique Paths,Backtracking
63. Unique Paths II,Backtracking
64. Minimum Path Sum,Backtracking
65. Valid Number,Backtracking
66. Plus One,Backtracking
67. Add Binary,Backtracking
68. Text Justification,Backtracking
69. Sqrt(x),Backtracking
70. Climbing Stairs,Backtracking
71. Simplify Path,Backtracking
72. Edit Distance,Backtracking
73. Set Matrix Zeroes,Backtracking
74. Search a 2D Matrix,Backtracking
75. Sort Colors,Backtracking
76. Minimum Window Substring,Backtracking
77. Combinations,Backtracking
78. Subsets,Backtracking
79. Word Search,Backtracking
80. Remove Duplicates from Sorted Array II,Backtracking
81. Search in Rotated Sorted Array II,Backtracking
82. Remove Duplicates from Sorted List II,Backtracking
83. Remove Duplicates from Sorted List,Backtracking
84. Largest Rectangle in Histogram,Backtracking
85. Maximal Rectangle,Backtracking
86. Partition List,Backtracking
87. Scramble String,Backtracking
88. Merge Sorted Array,Backtracking
89. Gray Code,Backtracking
90. Subsets II,Backtracking
91. Decode Ways,Backtracking
92. Reverse Linked List II,Backtracking
93. Restore IP Addresses,Backtracking
94. Binary Tree Inorder Traversal,Backtracking
95. Unique Binary Search Trees II,Backtracking
96. Unique Binary Search Trees,Backtracking
97. Interleaving String,Backtracking
98. Validate Binary Search Tree,Backtracking
99. Recover Binary Search Tree,Backtracking
100. Same Tree,Backtracking
101. Symmetric Tree,Backtracking
102. Binary Tree Level Order Traversal,Backtracking
103. Binary Tree Zigzag Level Order Traversal,Backtracking
104. Maximum Depth of Binary Tree,Backtracking
105. Construct Binary Tree from Preorder and Inorder Traversal,Backtracking
106. Construct Binary Tree from Inorder and Postorder Traversal,Backtracking
107. Binary Tree Level Order Traversal II,Backtracking
108. Convert Sorted Array to Binary Search Tree,Backtracking
109. Convert Sorted List to Binary Search Tree,Backtracking
110. Balanced Binary Tree,Backtracking
111. Minimum Depth of Binary Tree,Backtracking
112. Path Sum,Backtracking
113. Path Sum II,Backtracking
114. Flatten Binary Tree to Linked List,Backtracking
115. Distinct Subsequences,Backtracking
116. Populating Next Right Pointers in Each Node,Backtracking
117. Populating Next Right Pointers in Each Node II,Backtracking
118. Pascal's Triangle,Backtracking
119. Pascal's Triangle II,Backtracking
120. Triangle,Backtracking
121. Best Time to Buy and Sell Stock,Backtracking
122. Best Time to Buy and Sell Stock II,Backtracking
123. Best Time to Buy and Sell Stock III,Backtracking
124. Binary Tree Maximum Path Sum,Backtracking
125. Valid Palindrome,Backtracking
126. Word Ladder II,Backtracking
127. Word Ladder,Backtracking
128. Longest Consecutive Sequence,Backtracking
129. Sum Root to Leaf Numbers,Backtracking
130. Surrounded Regions,Backtracking
131. Palindrome Partitioning,Backtracking
132. Palindrome Partitioning II,Backtracking
133. Clone Graph,Backtracking
134. Gas Station,Backtracking
135. Candy,Backtracking
136. Single Number,Backtracking
137. Single Number II,Backtracking
138. Copy List with Random Pointer,Backtracking
139. Word Break,Backtracking
140. Word Break II,Backtracking
141. Linked List Cycle,Backtracking
142. Linked List Cycle II,Backtracking
143. Reorder List,Backtracking
144. Binary Tree Preorder Traversal,Backtracking
145. Binary Tree Postorder Traversal,Backtracking
146. LRU Cache,Backtracking
147. Insertion Sort List,Backtracking
148. Sort List,Backtracking
149. Max Points on a Line,Backtracking
150. Evaluate Reverse Polish Notation,Backtracking
151. Reverse Words in a String,Backtracking
152. Maximum Product Subarray,Backtracking
153. Find Minimum in Rotated Sorted Array,Backtracking
154. Find Minimum in Rotated Sorted Array II,Backtracking
155. Min Stack,Backtracking
156. Binary Tree Upside Down,Backtracking
157. Read N Characters Given Read4,Backtracking
158. Read N Characters Given read4 II - Call Multiple Times,Backtracking
159. Longest Substring with At Most Two Distinct Characters,Backtracking
160. Intersection of Two Linked Lists,Backtracking
161. One Edit Distance,Backtracking
162. Find Peak Element,Backtracking
163. Missing Ranges,Backtracking
164. Maximum Gap,Backtracking
165. Compare Version Numbers,Backtracking
166. Fraction to Recurring Decimal,Backtracking
167. Two Sum II - Input Array Is Sorted,Backtracking
168. Excel Sheet Column Title,Backtracking
169. Majority Element,Backtracking
170. Two Sum III - Data structure design,Backtracking
171. Excel Sheet Column Number,Backtracking
172. Factorial Trailing Zeroes,Backtracking
173. Binary Search Tree Iterator,Backtracking
174. Dungeon Game,Backtracking
175. Combine Two Tables,Backtracking
176. Second Highest Salary,Backtracking
177. Nth Highest Salary,Backtracking
178. Rank Scores,Backtracking
179. Largest Number,Backtracking
180. Consecutive Numbers,Backtracking
181. Employees Earning More Than Their Managers,Backtracking
182. Duplicate Emails,Backtracking
183. Customers Who Never Order,Backtracking
184. Department Highest Salary,Backtracking
185. Department Top Three Salaries,Backtracking
186. Reverse Words in a String II,Backtracking
187. Repeated DNA Sequences,Backtracking
188. Best Time to Buy and Sell Stock IV,Backtracking
189. Rotate Array,Backtracking
190. Reverse Bits,Backtracking
191. Number of 1 Bits,Backtracking
192. Word Frequency,Backtracking
193. Valid Phone Numbers,Backtracking
194. Transpose File,Backtracking
195. Tenth Line,Backtracking
196. Delete Duplicate Emails,Backtracking
197. Rising Temperature,Backtracking
198. House Robber,Backtracking
199. Binary Tree Right Side View,Backtracking
200. Number of Islands,Backtracking
201. Bitwise AND of Numbers Range,Backtracking
202. Happy Number,Backtracking
203. Remove Linked List Elements,Backtracking
204. Count Primes,Backtracking
205. Isomorphic Strings,Backtracking
206. Reverse Linked List,Backtracking
207. Course Schedule,Backtracking
208. Implement Trie (Prefix Tree),Backtracking
209. Minimum Size Subarray Sum,Backtracking
210. Course Schedule II,Backtracking
211. Design Add and Search Words Data Structure,Backtracking
212. Word Search II,Backtracking
213. House Robber II,Backtracking
214. Shortest Palindrome,Backtracking
215. Kth Largest Element in an Array,Backtracking
216. Combination Sum III,Backtracking
217. Contains Duplicate,Backtracking
218. The Skyline Problem,Backtracking
219. Contains Duplicate II,Backtracking
220. Contains Duplicate III,Backtracking
221. Maximal Square,Backtracking
222. Count Complete Tree Nodes,Backtracking
223. Rectangle Area,Backtracking
224. Basic Calculator,Backtracking
225. Implement Stack using Queues,Backtracking
226. Invert Binary Tree,Backtracking
227. Basic Calculator II,Backtracking
228. Summary Ranges,Backtracking
229. Majority Element II,Backtracking
230. Kth Smallest Element in a BST,Backtracking
231. Power of Two,Backtracking
232. Implement Queue using Stacks,Backtracking
233. Number of Digit One,Backtracking
234. Palindrome Linked List,Backtracking
235. Lowest Common Ancestor of a Binary Search Tree,Backtracking
