Question,Tag
Check if There is a Valid Partition For The Array,depth-first-search
Binary Tree Inorder Traversal,depth-first-search
Validate Binary Search Tree,depth-first-search
Recover Binary Search Tree,depth-first-search
Same Tree,depth-first-search
Symmetric Tree,depth-first-search
Maximum Depth of Binary Tree,depth-first-search
Balanced Binary Tree,depth-first-search
Minimum Depth of Binary Tree,depth-first-search
Path Sum,depth-first-search
Path Sum II,depth-first-search
Flatten Binary Tree to Linked List,depth-first-search
Populating Next Right Pointers in Each Node,depth-first-search
Populating Next Right Pointers in Each Node II,depth-first-search
Binary Tree Maximum Path Sum,depth-first-search
Sum Root to Leaf Numbers,depth-first-search
Surrounded Regions,depth-first-search
Clone Graph,depth-first-search
Binary Tree Preorder Traversal,depth-first-search
Binary Tree Postorder Traversal,depth-first-search
Binary Tree Upside Down,depth-first-search
Binary Tree Right Side View,depth-first-search
Number of Islands,depth-first-search
Course Schedule,depth-first-search
Course Schedule II,depth-first-search
Design Add and Search Words Data Structure,depth-first-search
Count Complete Tree Nodes,depth-first-search
Invert Binary Tree,depth-first-search
Kth Smallest Element in a BST,depth-first-search
Lowest Common Ancestor of a Binary Search Tree,depth-first-search
Lowest Common Ancestor of a Binary Tree,depth-first-search
Count Univalue Subtrees,depth-first-search
Binary Tree Paths,depth-first-search
Graph Valid Tree,depth-first-search
Alien Dictionary,depth-first-search
Closest Binary Search Tree Value,depth-first-search
Closest Binary Search Tree Value II,depth-first-search
Inorder Successor in BST,depth-first-search
Serialize and Deserialize Binary Tree,depth-first-search
Binary Tree Longest Consecutive Sequence,depth-first-search
Smallest Rectangle Enclosing Black Pixels,depth-first-search
Minimum Height Trees,depth-first-search
Binary Tree Vertical Order Traversal,depth-first-search
Number of Connected Components in an Undirected Graph,depth-first-search
Longest Increasing Path in a Matrix,depth-first-search
Reconstruct Itinerary,depth-first-search
Largest BST Subtree,depth-first-search
House Robber III,depth-first-search
Nested List Weight Sum,depth-first-search
Flatten Nested List Iterator,depth-first-search
Check if There is a Valid Partition For The Array,depth-first-search
Binary Tree Inorder Traversal,depth-first-search
Validate Binary Search Tree,depth-first-search
Recover Binary Search Tree,depth-first-search
Same Tree,depth-first-search
Symmetric Tree,depth-first-search
Maximum Depth of Binary Tree,depth-first-search
Balanced Binary Tree,depth-first-search
Minimum Depth of Binary Tree,depth-first-search
Path Sum,depth-first-search
Path Sum II,depth-first-search
Flatten Binary Tree to Linked List,depth-first-search
Populating Next Right Pointers in Each Node,depth-first-search
Populating Next Right Pointers in Each Node II,depth-first-search
Binary Tree Maximum Path Sum,depth-first-search
Sum Root to Leaf Numbers,depth-first-search
Surrounded Regions,depth-first-search
Clone Graph,depth-first-search
Binary Tree Preorder Traversal,depth-first-search
Binary Tree Postorder Traversal,depth-first-search
Binary Tree Upside Down,depth-first-search
Binary Tree Right Side View,depth-first-search
Number of Islands,depth-first-search
Course Schedule,depth-first-search
Course Schedule II,depth-first-search
Design Add and Search Words Data Structure,depth-first-search
Count Complete Tree Nodes,depth-first-search
Invert Binary Tree,depth-first-search
Kth Smallest Element in a BST,depth-first-search
Lowest Common Ancestor of a Binary Search Tree,depth-first-search
Lowest Common Ancestor of a Binary Tree,depth-first-search
Count Univalue Subtrees,depth-first-search
Binary Tree Paths,depth-first-search
Graph Valid Tree,depth-first-search
Alien Dictionary,depth-first-search
Closest Binary Search Tree Value,depth-first-search
Closest Binary Search Tree Value II,depth-first-search
Inorder Successor in BST,depth-first-search
Serialize and Deserialize Binary Tree,depth-first-search
Binary Tree Longest Consecutive Sequence,depth-first-search
Smallest Rectangle Enclosing Black Pixels,depth-first-search
Minimum Height Trees,depth-first-search
Binary Tree Vertical Order Traversal,depth-first-search
Number of Connected Components in an Undirected Graph,depth-first-search
Longest Increasing Path in a Matrix,depth-first-search
Reconstruct Itinerary,depth-first-search
Largest BST Subtree,depth-first-search
House Robber III,depth-first-search
Nested List Weight Sum,depth-first-search
Flatten Nested List Iterator,depth-first-search
Water and Jug Problem,depth-first-search
Find Leaves of Binary Tree,depth-first-search
Mini Parser,depth-first-search
Lexicographical Numbers,depth-first-search
Longest Absolute File Path,depth-first-search
Evaluate Division,depth-first-search
Sum of Left Leaves,depth-first-search
Pacific Atlantic Water Flow,depth-first-search
Battleships in a Board,depth-first-search
Convert Binary Search Tree to Sorted Doubly Linked List,depth-first-search
Serialize and Deserialize N-ary Tree,depth-first-search
Flatten a Multilevel Doubly Linked List,depth-first-search
Encode N-ary Tree to Binary Tree,depth-first-search
Path Sum III,depth-first-search
Serialize and Deserialize BST,depth-first-search
Island Perimeter,depth-first-search
Concatenated Words,depth-first-search
The Maze,depth-first-search
The Maze III,depth-first-search
Find Mode in Binary Search Tree,depth-first-search
The Maze II,depth-first-search
Most Frequent Subtree Sum,depth-first-search
Find Bottom Left Tree Value,depth-first-search
Freedom Trail,depth-first-search
Find Largest Value in Each Tree Row,depth-first-search
Minesweeper,depth-first-search
Minimum Absolute Difference in BST,depth-first-search
Construct Binary Tree from String,depth-first-search
Convert BST to Greater Tree,depth-first-search
Diameter of Binary Tree,depth-first-search
Boundary of Binary Tree,depth-first-search
Number of Provinces,depth-first-search
Binary Tree Longest Consecutive Sequence II,depth-first-search
Maximum Depth of N-ary Tree,depth-first-search
Binary Tree Tilt,depth-first-search
Array Nesting,depth-first-search
Subtree of Another Tree,depth-first-search
Kill Process,depth-first-search
N-ary Tree Preorder Traversal,depth-first-search
N-ary Tree Postorder Traversal,depth-first-search
Construct String from Binary Tree,depth-first-search
Merge Two Binary Trees,depth-first-search
Add One Row to Tree,depth-first-search
Average of Levels in Binary Tree,depth-first-search
Find Duplicate Subtrees,depth-first-search
Two Sum IV - Input is a BST,depth-first-search
Print Binary Tree,depth-first-search
Maximum Width of Binary Tree,depth-first-search
Equal Tree Partition,depth-first-search
Path Sum IV,depth-first-search
Trim a Binary Search Tree,depth-first-search
Second Minimum Node In a Binary Tree,depth-first-search
Bulb Switcher II,depth-first-search
Redundant Connection,depth-first-search
Redundant Connection II,depth-first-search
Longest Univalue Path,depth-first-search
Employee Importance,depth-first-search
Number of Distinct Islands,depth-first-search
Max Area of Island,depth-first-search
Number of Distinct Islands II,depth-first-search
Accounts Merge,depth-first-search
Flood Fill,depth-first-search
Sentence Similarity II,depth-first-search
Closest Leaf in a Binary Tree,depth-first-search
Network Delay Time,depth-first-search
Contain Virus,depth-first-search
Cracking the Safe,depth-first-search
Pyramid Transition Matrix,depth-first-search
Couples Holding Hands,depth-first-search
Swim in Rising Water,depth-first-search
Minimum Distance Between BST Nodes,depth-first-search
Is Graph Bipartite?,depth-first-search
Cheapest Flights Within K Stops,depth-first-search
All Paths From Source to Target,depth-first-search
Find Eventual Safe States,depth-first-search
Binary Tree Pruning,depth-first-search
Making A Large Island,depth-first-search
Sum of Distances in Tree,depth-first-search
Similar String Groups,depth-first-search
Keys and Rooms,depth-first-search
Loud and Rich,depth-first-search
All Nodes Distance K in Binary Tree,depth-first-search
Smallest Subtree with all the Deepest Nodes,depth-first-search
Leaf-Similar Trees,depth-first-search
Possible Bipartition,depth-first-search
