Question,Tag
Check if There is a Valid Partition For The Array,prefix-sum
Minimum Size Subarray Sum,prefix-sum
Product of Array Except Self,prefix-sum
Meeting Rooms II,prefix-sum
Range Sum Query - Immutable,prefix-sum
Range Sum Query 2D - Immutable,prefix-sum
Maximum Size Subarray Sum Equals k,prefix-sum
Max Sum of Rectangle No Larger Than K,prefix-sum
Range Addition,prefix-sum
Split Array Largest Sum,prefix-sum
Random Point in Non-overlapping Rectangles,prefix-sum
Continuous Subarray Sum,prefix-sum
Contiguous Array,prefix-sum
Random Pick with Weight,prefix-sum
Split Array with Equal Sum,prefix-sum
Subarray Sum Equals K,prefix-sum
Maximum Average Subarray II,prefix-sum
Find Pivot Index,prefix-sum
Smallest Rotation with Highest Score,prefix-sum
Largest Sum of Averages,prefix-sum
Shortest Subarray with Sum at Least K,prefix-sum
Valid Permutations for DI Sequence,prefix-sum
Binary Subarrays With Sum,prefix-sum
Subarray Sums Divisible by K,prefix-sum
Minimum Number of K Consecutive Bit Flips,prefix-sum
Minimum Cost to Merge Stones,prefix-sum
Max Consecutive Ones III,prefix-sum
Number of Submatrices That Sum to Target,prefix-sum
Car Pooling,prefix-sum
Corporate Flight Bookings,prefix-sum
Longest Well-Performing Interval,prefix-sum
Stone Game II,prefix-sum
Can Make Palindrome from Substring,prefix-sum
Get Equal Substrings Within Budget,prefix-sum
Maximum Side Length of a Square with Sum Less than or Equal to Threshold,prefix-sum
XOR Queries of a Subarray,prefix-sum
Matrix Block Sum,prefix-sum
Find the Longest Substring Containing Vowels in Even Counts,prefix-sum
Minimum Value to Get Positive Step by Step Sum,prefix-sum
Build Array Where You Can Find The Maximum Exactly K Comparisons,prefix-sum
Maximum Points You Can Obtain from Cards,prefix-sum
Count Triplets That Can Form Two Arrays of Equal XOR,prefix-sum
Running Sum of 1d Array,prefix-sum
Number of Sub-arrays With Odd Sum,prefix-sum
Maximum Number of Non-Overlapping Subarrays With Sum Equals Target,prefix-sum
Sum of All Odd Length Subarrays,prefix-sum
Maximum Sum Obtained of Any Permutation,prefix-sum
Make Sum Divisible by P,prefix-sum
Minimum Operations to Reduce X to Zero,prefix-sum
Minimum Moves to Make Array Complementary,prefix-sum
Check if There is a Valid Partition For The Array,prefix-sum
Minimum Size Subarray Sum,prefix-sum
Product of Array Except Self,prefix-sum
Meeting Rooms II,prefix-sum
Range Sum Query - Immutable,prefix-sum
Range Sum Query 2D - Immutable,prefix-sum
Maximum Size Subarray Sum Equals k,prefix-sum
Max Sum of Rectangle No Larger Than K,prefix-sum
Range Addition,prefix-sum
Split Array Largest Sum,prefix-sum
Random Point in Non-overlapping Rectangles,prefix-sum
Continuous Subarray Sum,prefix-sum
Contiguous Array,prefix-sum
Random Pick with Weight,prefix-sum
Split Array with Equal Sum,prefix-sum
Subarray Sum Equals K,prefix-sum
Maximum Average Subarray II,prefix-sum
Find Pivot Index,prefix-sum
Smallest Rotation with Highest Score,prefix-sum
Largest Sum of Averages,prefix-sum
Shortest Subarray with Sum at Least K,prefix-sum
Valid Permutations for DI Sequence,prefix-sum
Binary Subarrays With Sum,prefix-sum
Subarray Sums Divisible by K,prefix-sum
