Question,Tag
63. Unique Paths II,Hash Table
1. Two Sum,Hash Table
3. Longest Substring Without Repeating Characters,Hash Table
12. Integer to Roman,Hash Table
13. Roman to Integer,Hash Table
17. Letter Combinations of a Phone Number,Hash Table
30. Substring with Concatenation of All Words,Hash Table
36. Valid Sudoku,Hash Table
37. Sudoku Solver,Hash Table
41. First Missing Positive,Hash Table
49. Group Anagrams,Hash Table
73. Set Matrix Zeroes,Hash Table
76. Minimum Window Substring,Hash Table
105. Construct Binary Tree from Preorder and Inorder Traversal,Hash Table
106. Construct Binary Tree from Inorder and Postorder Traversal,Hash Table
126. Word Ladder II,Hash Table
127. Word Ladder,Hash Table
128. Longest Consecutive Sequence,Hash Table
133. Clone Graph,Hash Table
138. Copy List with Random Pointer,Hash Table
139. Word Break,Hash Table
140. Word Break II,Hash Table
141. Linked List Cycle,Hash Table
142. Linked List Cycle II,Hash Table
146. LRU Cache,Hash Table
149. Max Points on a Line,Hash Table
159. Longest Substring with At Most Two Distinct Characters,Hash Table
160. Intersection of Two Linked Lists,Hash Table
166. Fraction to Recurring Decimal,Hash Table
169. Majority Element,Hash Table
170. Two Sum III - Data structure design,Hash Table
187. Repeated DNA Sequences,Hash Table
202. Happy Number,Hash Table
205. Isomorphic Strings,Hash Table
208. Implement Trie (Prefix Tree),Hash Table
217. Contains Duplicate,Hash Table
219. Contains Duplicate II,Hash Table
229. Majority Element II,Hash Table
242. Valid Anagram,Hash Table
244. Shortest Word Distance II,Hash Table
246. Strobogrammatic Number,Hash Table
249. Group Shifted Strings,Hash Table
264. Ugly Number II,Hash Table
266. Palindrome Permutation,Hash Table
267. Palindrome Permutation II,Hash Table
268. Missing Number,Hash Table
288. Unique Word Abbreviation,Hash Table
290. Word Pattern,Hash Table
291. Word Pattern II,Hash Table
299. Bulls and Cows,Hash Table
63. Unique Paths II,Hash Table
1. Two Sum,Hash Table
3. Longest Substring Without Repeating Characters,Hash Table
12. Integer to Roman,Hash Table
13. Roman to Integer,Hash Table
17. Letter Combinations of a Phone Number,Hash Table
30. Substring with Concatenation of All Words,Hash Table
36. Valid Sudoku,Hash Table
37. Sudoku Solver,Hash Table
41. First Missing Positive,Hash Table
49. Group Anagrams,Hash Table
73. Set Matrix Zeroes,Hash Table
76. Minimum Window Substring,Hash Table
105. Construct Binary Tree from Preorder and Inorder Traversal,Hash Table
106. Construct Binary Tree from Inorder and Postorder Traversal,Hash Table
126. Word Ladder II,Hash Table
127. Word Ladder,Hash Table
128. Longest Consecutive Sequence,Hash Table
133. Clone Graph,Hash Table
138. Copy List with Random Pointer,Hash Table
139. Word Break,Hash Table
140. Word Break II,Hash Table
141. Linked List Cycle,Hash Table
142. Linked List Cycle II,Hash Table
146. LRU Cache,Hash Table
149. Max Points on a Line,Hash Table
159. Longest Substring with At Most Two Distinct Characters,Hash Table
160. Intersection of Two Linked Lists,Hash Table
166. Fraction to Recurring Decimal,Hash Table
169. Majority Element,Hash Table
170. Two Sum III - Data structure design,Hash Table
187. Repeated DNA Sequences,Hash Table
202. Happy Number,Hash Table
205. Isomorphic Strings,Hash Table
208. Implement Trie (Prefix Tree),Hash Table
217. Contains Duplicate,Hash Table
219. Contains Duplicate II,Hash Table
229. Majority Element II,Hash Table
242. Valid Anagram,Hash Table
