Question,Tag
Check if There is a Valid Partition For The Array,matrix
Valid Sudoku,matrix
Sudoku Solver,matrix
Rotate Image,matrix
Spiral Matrix,matrix
Spiral Matrix II,matrix
Unique Paths II,matrix
Minimum Path Sum,matrix
Set Matrix Zeroes,matrix
Search a 2D Matrix,matrix
Word Search,matrix
Maximal Rectangle,matrix
Surrounded Regions,matrix
Dungeon Game,matrix
Number of Islands,matrix
Word Search II,matrix
Maximal Square,matrix
Search a 2D Matrix II,matrix
Walls and Gates,matrix
Game of Life,matrix
Best Meeting Point,matrix
Smallest Rectangle Enclosing Black Pixels,matrix
Range Sum Query 2D - Immutable,matrix
Range Sum Query 2D - Mutable,matrix
Sparse Matrix Multiplication,matrix
Shortest Distance from All Buildings,matrix
Longest Increasing Path in a Matrix,matrix
Design Tic-Tac-Toe,matrix
Design Snake Game,matrix
Bomb Enemy,matrix
Max Sum of Rectangle No Larger Than K,matrix
Kth Smallest Element in a Sorted Matrix,matrix
Trapping Rain Water II,matrix
Pacific Atlantic Water Flow,matrix
Battleships in a Board,matrix
Valid Word Square,matrix
Construct Quad Tree,matrix
Island Perimeter,matrix
Diagonal Traverse,matrix
Minesweeper,matrix
Lonely Pixel I,matrix
Lonely Pixel II,matrix
01 Matrix,matrix
Longest Line of Consecutive One in Matrix,matrix
Reshape the Matrix,matrix
Maximum Vacation Days,matrix
Image Smoother,matrix
Cut Off Trees for Golf Event,matrix
Max Area of Island,matrix
Candy Crush,matrix
Check if There is a Valid Partition For The Array,matrix
Valid Sudoku,matrix
Sudoku Solver,matrix
Rotate Image,matrix
Spiral Matrix,matrix
Spiral Matrix II,matrix
Unique Paths II,matrix
Minimum Path Sum,matrix
Set Matrix Zeroes,matrix
Search a 2D Matrix,matrix
Word Search,matrix
Maximal Rectangle,matrix
Surrounded Regions,matrix
Dungeon Game,matrix
Number of Islands,matrix
Word Search II,matrix
Maximal Square,matrix
Search a 2D Matrix II,matrix
Walls and Gates,matrix
Game of Life,matrix
Best Meeting Point,matrix
Smallest Rectangle Enclosing Black Pixels,matrix
Range Sum Query 2D - Immutable,matrix
Range Sum Query 2D - Mutable,matrix
Sparse Matrix Multiplication,matrix
Shortest Distance from All Buildings,matrix
Longest Increasing Path in a Matrix,matrix
Design Tic-Tac-Toe,matrix
Design Snake Game,matrix
